"_","Id","Company__c","CreatedById","CreatedDate","ECOGroupID__c","MtlPartNum__c","MtlSeq__c","Operations__c","PartNum__c","Plant__c","PullAsAsm__c","QtyPer__c","RelatedOperation__c","RevisionNum__c","SystemModstamp"
"[Materials__c]","a5Q5d000000CqUfEAK","JC","0053h000003HAl9AAG","2023-05-25T14:54:57.000+0000","bgonnelli","152","10","a5R5d00000091wnEAA","152-275","ALS001","false","275","10","1","2023-05-25T14:54:57.000+0000"
"[Materials__c]","a5Q5d000000CqUkEAK","JC","0053h000003HAl9AAG","2023-05-25T14:55:45.000+0000","bgonnelli","TO2-00001","20","a5R5d00000091wnEAA","152-275","ALS001","false","1","10","1","2023-05-25T14:55:45.000+0000"
"[Materials__c]","a5Q5d000000CqUpEAK","JC","0053h000003HAl9AAG","2023-05-25T14:56:13.000+0000","bgonnelli","LA1-00001","30","a5R5d00000091wnEAA","152-275","ALS001","false","1","10","1","2023-05-25T14:56:13.000+0000"
"[Materials__c]","a5Q5d000000CqckEAC","JC","0053h000003HAl9AAG","2023-05-26T13:56:59.000+0000","bgonnelli","497","10","a5R5d00000092XKEAY","PIN57043","ALS001","false","275","10","1","2023-05-26T13:56:59.000+0000"
"[Materials__c]","a5Q5d000000CqclEAC","JC","0053h000003HAl9AAG","2023-05-26T13:57:55.000+0000","bgonnelli","LA1-00038","30","a5R5d00000092XKEAY","PIN57043","ALS001","false","1","10","1","2023-05-26T13:57:55.000+0000"
"[Materials__c]","a5Q5d000000CqcpEAC","JC","0053h000003HAl9AAG","2023-05-26T13:57:38.000+0000","bgonnelli","TO2-00001","20","a5R5d00000092XKEAY","PIN57043","ALS001","false","1","10","1","2023-05-26T13:57:38.000+0000"
"[Materials__c]","a5Q5d000000CrGuEAK","JC","0053h000003HAl9AAG","2023-06-02T13:57:10.000+0000","bgonnelli","470","10","a5R5d00000094DHEAY","OS-102220-55","ALS001","false","55","10","1","2023-06-02T13:57:10.000+0000"
"[Materials__c]","a5Q5d000000CrGvEAK","JC","0053h000003HAl9AAG","2023-06-02T13:58:46.000+0000","bgonnelli","PT1-00005","60","a5R5d00000094DHEAY","OS-102220-55","ALS001","false","0.25","10","1","2023-06-02T13:58:46.000+0000"
"[Materials__c]","a5Q5d000000CrGzEAK","JC","0053h000003HAl9AAG","2023-06-02T13:57:26.000+0000","bgonnelli","DR1-00003","20","a5R5d00000094DHEAY","OS-102220-55","ALS001","false","1","10","1","2023-06-02T13:57:26.000+0000"
"[Materials__c]","a5Q5d000000CrH0EAK","JC","0053h000003HAl9AAG","2023-06-02T13:58:22.000+0000","bgonnelli","CB5-00003","50","a5R5d00000094DHEAY","OS-102220-55","ALS001","false","1","10","1","2023-06-02T13:58:22.000+0000"
"[Materials__c]","a5Q5d000000CrH4EAK","JC","0053h000003HAl9AAG","2023-06-02T13:57:47.000+0000","bgonnelli","LA1-00004","30","a5R5d00000094DHEAY","OS-102220-55","ALS001","false","1","10","1","2023-06-02T13:57:47.000+0000"
"[Materials__c]","a5Q5d000000CrH5EAK","JC","0053h000003HAl9AAG","2023-06-02T13:58:05.000+0000","bgonnelli","CB5-00001","40","a5R5d00000094DHEAY","OS-102220-55","ALS001","false","1","10","1","2023-06-02T13:58:05.000+0000"
