"_","Id","Name","AccountId__c","ccrz__BillTo__c","Billing_Address__c","Billing_City_State_Zip__c","Bulk_Product_Count__c","Billing_Company_Name__c","ccrz__BuyerCompanyName__c","ccrz__ShipMethod__c","Average_Gross_Profit_Margin__c","Average_Per_Unit_Profit_Margin__c","Average_Net_Profit_Margin__c","ccrz__OrderNumber__c","Total_Cost__c","ccrz__TotalDiscount__c","Total_Weight__c"
"[ccrz__E_Order__c]","a0n5d00000TWEdkAAH","O-0000007684","0013h00000zufkJ","a0P5d000016ChPlEAK","Irving Blending &amp; Packaging<br>P. O. Box 1169<br>Saint John, NB E2L 4E6<br>Canada","Saint John, NB E2L 4E6","3","Irving Blending & Packaging","","FOB Orgin Pre-Pay & Add","","","","1007684","22344.62","","46071.5"
"[ccrz__E_Order__c]","a0n5d00000TWEdpAAH","O-0000007685","0013h00000zssaO","a0P5d000016ChQ0EAK","Brenntag Lubricants Northeast<br>1064 Goffs Falls Road<br>Manchester, NH 03103<br>United States","Manchester, NH 03103","2","Brenntag Lubricants Northeast","","FOB Orgin Pre-Pay & Add","","","","1007685","18025.34","","46762.5"
"[ccrz__E_Order__c]","a0n5d00000TWEduAAH","O-0000007686","0013h00000zssaO","a0P5d000016ChQPEA0","Brenntag Lubricants Northeast<br>1064 Goffs Falls Road<br>Manchester, NH 03103<br>United States","Manchester, NH 03103","4","Brenntag Lubricants Northeast","","FOB Orgin Pre-Pay & Add","","","","1007686","23352.95","","46897.95"
"[ccrz__E_Order__c]","a0n5d00000TWEe9AAH","O-0000007687","0013h000012Wvvv","a0P5d000016ChRcEAK","The United Oil Company, Inc<br>4405 E Baltimore Street<br>Baltimore, MD 21224<br>United States","Baltimore, MD 21224","2","The United Oil Company, Inc","","FOB Destination Pre-Pay & Add","","","","1007687","23926.52","","48138.95"
"[ccrz__E_Order__c]","a0n5d00000TWEeOAAX","O-0000007688","0013h00000vNK3s","a0P5d000016ChSLEA0","ADI Marketing Inc<br>145 48th Street<br>Brooklyn, NY 11232<br>United States","Brooklyn, NY 11232","0","ADI Marketing Inc","","Our Truck","","","","1007688","35990.64","","43094.52"
"[ccrz__E_Order__c]","a0n5d00000TWEeiAAH","O-0000007689","0013h000013OoCs","a0P5d000016ChUHEA0","Sealube Marine Inc<br>25511 Budde Road Suite 2003<br>The Woodlands, TX 77380<br>United States","The Woodlands, TX 77380","1","Sealube Marine Inc","","Our Truck","","","","1007689","0","","46565.55"
"[ccrz__E_Order__c]","a0n5d00000UAK9fAAH","O-0000007690","0013h00000ztMKZ","a0P5d000018j93fEAA","Grade A Petroleum<br>90 East Hawthorne Avenue<br>Valley Stream, NY 11580<br>United States","Valley Stream, NY 11580","1","Grade A Petroleum","","FOB Orgin Pre-Pay & Add","","","","1007690","0","","49455.36"
"[ccrz__E_Order__c]","a0n5d00000UAKDpAAP","O-0000007691","0013h00000vNK3s","a0P5d000018j957EAA","ADI Marketing Inc<br>145 48th Street<br>Brooklyn, NY 11232<br>United States","Brooklyn, NY 11232","0","ADI Marketing Inc","","FOB Orgin (Customer Truck)","","","","1007691","44420.04","","42296.52"
"[ccrz__E_Order__c]","a0n5d00000UAKGXAA5","O-0000007692","0013h000013n0hq","a0P5d000018j96KEAQ","Lukoil Marine Lubricants USA Inc<br>250 South President Street Suite 3200<br>Baltimore, MD 21202<br>United States","Baltimore, MD 21202","1","Lukoil Marine Lubricants USA Inc","","Our Truck","","","","1007692","0","","28125"
"[ccrz__E_Order__c]","a0n5d00000UAKISAA5","O-0000007693","0013h00000JQppx","a0P5d000018j978EAA","Advance Auto Parts<br>2635 East Millbrook Road<br>Raleigh, NC 27604<br>United States","Raleigh, NC 27604","0","Advance Auto Parts","","Our Truck","","","","1007693","721.05","","894.94"
