"_","Id","Name","CreatedDate","Brand_Code__c","Category__c","Packaging_Type__c","ccrz__ParentProduct__c","Royalty__c","Royalty_Type__c","Blending__c","COG_Subtotal__c","Net_Volume__c","Purchase_Price__c","ccrz__Quantityperunit__c","Raw_Material__c"
"[ccrz__E_Product__c]","a1F5d00000nfVGcEAM","919-000","2022-03-17T11:47:27.000+0000","79","Industrial","BULK","a1F3h0000003SVbEAM","false","Absolute","","1.52","1","","1",""
"[ccrz__E_Product__c]","a1F5d00000nfVI4EAM","327-275-M","2022-03-17T13:57:33.000+0000","","Automotive","TOTE-275","","false","Absolute","","2362.25","275","","1",""
"[ccrz__E_Product__c]","a1F5d00000nfVI9EAM","327-275","2022-03-17T14:00:14.000+0000","20","Automotive","TOTE-275","a1F5d00000nfVI4EAM","false","Absolute","","1636.16","275","","1",""
"[ccrz__E_Product__c]","a1F5d00000nfVITEA2","D1252001","2022-03-17T14:31:03.000+0000","61","Automotive","BULK","a1F3h000000mc4CEAQ","false","Absolute","0.25","6.36557","1","","1","6.06"
"[ccrz__E_Product__c]","a1F5d00000nfVIdEAM","3303-000","2022-03-17T14:36:13.000+0000","30","Automotive","BULK","a1F3h000000mc3kEAA","false","Absolute","0.25","15","1","","1","10.5"
"[ccrz__E_Product__c]","a1F5d00000nfVInEAM","640-000","2022-03-17T14:39:40.000+0000","20","Industrial","BULK","a1F3h0000003SP8EAM","false","Absolute","","5.10018","1","","1",""
"[ccrz__E_Product__c]","a1F5d00000nfVIsEAM","4813-275","2022-03-17T15:00:51.000+0000","30","Industrial","TOTE-275","a1F3h0000003SLMEA2","false","Absolute","","1387.61","275","","1",""
"[ccrz__E_Product__c]","a1F5d00000nfVJvEAM","92203-005-M","2022-03-17T18:01:27.000+0000","","Industrial","PAIL","","false","Absolute","","181.65","5","181.65","1",""
"[ccrz__E_Product__c]","a1F5d00000nfVK5EAM","92203-005","2022-03-17T18:03:33.000+0000","30","Industrial","PAIL","a1F5d00000nfVJvEAM","false","Absolute","","181.65","5","181.65","1",""
"[ccrz__E_Product__c]","a1F5d00000nfVKPEA2","185096-275-M","2022-03-17T18:14:43.000+0000","","Industrial","TOTE-275","","false","Absolute","","1838.93","275","","1",""
"[ccrz__E_Product__c]","a1F5d00000nfVKUEA2","186625-275T","2022-03-17T18:17:05.000+0000","42","Industrial","TOTE-275","a1F5d00000nfVKPEA2","false","Absolute","","1838.93","275","","1",""
"[ccrz__E_Product__c]","a1F5d00000nfVKeEAM","319-275-M","2022-03-17T18:18:34.000+0000","","Automotive","TOTE-275","","false","Absolute","","2524.5","275","","1",""
"[ccrz__E_Product__c]","a1F5d00000nfVKjEAM","PHD57240","2022-03-17T18:20:17.000+0000","46","Automotive","TOTE-275","a1F5d00000nfVKeEAM","false","Absolute","","2524.5","275","","1",""
"[ccrz__E_Product__c]","a1F5d00000nfVKoEAM","444-055-M","2022-03-17T18:20:59.000+0000","","Industrial","DRUM","","false","Absolute","","473.55","55","","1",""
"[ccrz__E_Product__c]","a1F5d00000nfVKyEAM","4443-055","2022-03-17T18:25:05.000+0000","30","Industrial","DRUM","a1F5d00000nfVKoEAM","false","Absolute","","","55","","1",""
"[ccrz__E_Product__c]","a1F5d00000nfVL3EAM","9893-055-M","2022-03-17T18:25:55.000+0000","","Anti-Freeze","DRUM","","false","Absolute","","358.05","55","358.05","1",""
"[ccrz__E_Product__c]","a1F5d00000nfVLIEA2","9893-055","2022-03-17T18:32:16.000+0000","30","Anti-Freeze","DRUM","a1F5d00000nfVL3EAM","false","Absolute","","358.05","55","358.05","1",""
"[ccrz__E_Product__c]","a1F5d00000nfVMkEAM","5023-001-M","2022-03-17T20:14:08.000+0000","","Automotive","12/1 QT","","false","Absolute","","29.25","3","","1",""
"[ccrz__E_Product__c]","a1F5d00000nfVMpEAM","5433-002-M","2022-03-17T20:19:22.000+0000","","Automotive","2.5 GAL","","false","Absolute","","30.38","3.75","","1",""
"[ccrz__E_Product__c]","a1F5d00000nfVMuEAM","5023-001","2022-03-17T20:22:19.000+0000","30","Automotive","12/1 QT","a1F5d00000nfVMkEAM","false","Absolute","","21.39","3","","1",""
"[ccrz__E_Product__c]","a1F5d00000nfVMzEAM","5433-002","2022-03-17T20:23:13.000+0000","30","Automotive","2.5 GAL","a1F5d00000nfVMpEAM","false","Absolute","","30.38","3.75","","1",""
"[ccrz__E_Product__c]","a1F5d00000nfVPPEA2","698-275-M","2022-03-18T13:58:21.000+0000","","Automotive","TOTE-275","","false","Absolute","","3570.95","275","","1",""
"[ccrz__E_Product__c]","a1F5d00000nfVPZEA2","465-275-M","2022-03-18T14:00:32.000+0000","","Industrial","TOTE-275","","false","Absolute","","2199.86","275","","1",""
"[ccrz__E_Product__c]","a1F5d00000nfVU0EAM","40400F-M","2022-03-19T12:25:19.000+0000","","Industrial","6/12 OZ","","false","Absolute","","22.51","0.56253","22.51","1",""
"[ccrz__E_Product__c]","a1F5d00000nfVU5EAM","40400JG-M","2022-03-19T12:36:05.000+0000","","Industrial","CASE","","false","Absolute","","22.51","0.56253","22.51","1",""
"[ccrz__E_Product__c]","a1F5d00000nfVUAEA2","40402F-M","2022-03-19T12:40:33.000+0000","","Industrial","12/2.5OZ","","false","Absolute","","25.39","0.234375","25.39","1",""
"[ccrz__E_Product__c]","a1F5d00000nfVUFEA2","40402JG-M","2022-03-19T12:48:21.000+0000","","Industrial","CASE","","false","Absolute","","25.39","0.234375","25.39","1",""
