Id,Company__c,CreatedById,CreatedDate,ECOGroupID__c,MtlPartNum__c,MtlSeq__c,Operations__c,PartNum__c,Plant__c,PullAsAsm__c,QtyPer__c,RelatedOperation__c,RevisionNum__c,SystemModstamp
a5QQk00000008s1MAA,JC,0053h000003HAl9AAG,2023-10-04T16:08:15.000+0000,bgonnelli,CB2-00009,30.0,a5RQk000000CklRMAS,TL-19511,ALS001,False,12.0,10.0,1.0,2023-10-04T16:08:15.000+0000
a5Q5d000000OwfDEAS,JC,0053h000003HAl9AAG,2022-10-11T13:15:20.000+0000,bgonnelli,LA1-00001,50.0,a5R5d000000LwjsEAC,1811-055,ALS001,False,1.0,10.0,1.0,2022-10-11T13:15:20.000+0000
a5QQk00000001DpMAI,JC,0053h000003HAl9AAG,2023-08-30T12:20:59.000+0000,bgonnelli,438,10.0,a5RQk00000035KvMAI,TL-10367,ALS001,False,53.0,10.0,1.0,2023-08-30T12:20:59.000+0000
a5QQk00000005irMAA,JC,0053h000003HAl9AAG,2023-09-21T13:01:10.000+0000,bgonnelli,CB2-00009,30.0,a5RQk0000008zntMAA,TL-13041,ALS001,False,12.0,10.0,1.0,2023-09-21T13:01:10.000+0000
a5QQk0000000FK1MAM,JC,0053h000003HAl9AAG,2023-11-16T18:02:39.000+0000,bgonnelli,759A,10.0,a5RQk000000O4YjMAK,TL-17134,ALS001,False,4.23,10.0,1.0,2023-11-16T18:02:39.000+0000
a5QQk00000072OTMAY,JC,0053h000003HAl9AAG,2024-04-03T17:10:13.000+0000,bgonnelli,BX1-00017,40.0,a5RQk000000zM0PMAU,TL-14391-ER,ALS001,False,1.0,10.0,1.0,2024-04-03T17:10:13.000+0000
a5QQk00000007EPMAY,JC,0053h000003HAl9AAG,2023-09-28T20:45:14.000+0000,bgonnelli,BT6-00002,20.0,a5RQk000000BKY5MAO,TL-17186,ALS001,False,4.0,10.0,1.0,2023-09-28T20:45:14.000+0000
a5QQk00000004A5MAI,JC,0053h000003HAl9AAG,2023-09-13T18:33:01.000+0000,bgonnelli,PT1-00002,90.0,a5RQk0000006yG1MAI,TL-14056-ER,ALS001,False,0.013,10.0,1.0,2023-09-13T18:33:01.000+0000
a5QQk0000002LunMAE,JC,0053h000003HAl9AAG,2024-01-23T19:24:21.000+0000,bgonnelli,104,10.0,a5RQk000000fQ9tMAE,104W-000,ALS001,False,1.0,10.0,1.0,2024-01-23T19:24:21.000+0000
a5QQk000000FbDlMAK,JC,0053h000003HAl9AAG,2024-09-08T15:23:55.000+0000,bgonnelli,CB5-00003,50.0,a5RQk000001mASjMAM,174350,ALS001,False,1.0,10.0,1.0,2024-09-08T15:23:55.000+0000
a5QQk00000009ePMAQ,JC,0053h000003HAl9AAG,2023-10-05T12:10:28.000+0000,bgonnelli,LA4-00056,50.0,a5RQk000000CyObMAK,TL-17047-E,ALS001,False,1.0,10.0,1.0,2023-10-05T12:10:28.000+0000
a5QQk0000000DrhMAE,JC,0053h000003HAl9AAG,2023-11-07T21:12:35.000+0000,bgonnelli,CB2-00009,30.0,a5RQk000000LGY1MAO,TL-13361-E,ALS001,False,12.0,10.0,1.0,2023-11-07T21:12:35.000+0000
a5QQk00000006TdMAI,JC,0053h000003HAl9AAG,2023-09-25T14:55:45.000+0000,bgonnelli,659,10.0,a5RQk0000009uMLMAY,659-275,ALS001,False,275.0,10.0,1.0,2023-09-25T14:55:45.000+0000
a5Q5d000000P1WqEAK,JC,0053h000003HAl9AAG,2022-10-27T16:15:44.000+0000,bgonnelli,DR1-00003,20.0,a5R5d000000M46bEAC,25120/55,ALS001,False,1.0,10.0,1.0,2022-10-27T16:15:44.000+0000
a5QQk0000000AyfMAE,JC,0053h000003HAl9AAG,2023-10-20T13:50:01.000+0000,bgonnelli,BT6-00002,20.0,a5RQk000000GcSjMAK,TL-17026,ALS001,False,4.0,10.0,1.0,2023-10-20T13:50:01.000+0000
