Id,Name,AccountId__c,ccrz__BillTo__c,Billing_Address__c,Billing_City_State_Zip__c,Bulk_Product_Count__c,Billing_Company_Name__c,ccrz__BuyerCompanyName__c,ccrz__ShipMethod__c,Average_Gross_Profit_Margin__c,Average_Per_Unit_Profit_Margin__c,Average_Net_Profit_Margin__c,ccrz__OrderNumber__c,Total_Cost__c,ccrz__TotalDiscount__c,Total_Weight__c
a0n5d00000V31sWAAR,O-0000009539,0013h000013Onaz,a0P5d000018jvMrEAI,"Idemitsu Lubricants America Corp<br>701 Port Road<br>Jeffersonville, IN 47130<br>United States","Jeffersonville, IN 47130",1.0,Idemitsu Lubricants America Corp,,FOB Origin Pre-Pay & Add,,,,1009539,0.0,,45229.86
a0n5d00000Y6XIxAAN,O-0000015424,0013h00000zvDKN,a0P5d00001Cn0TAEAZ,"Troil Enterprises, LLC<br>2485 East State Street Ext.<br>Trenton, NJ 08619<br>United States","Trenton, NJ 08619",0.0,"Troil Enterprises, LLC",,Customer Pickup,,,,1015424,22235.64,,20361.6
a0n5d00000YRtHJAA1,O-0000016662,0015d00003RwJR1,a0P5d00001CoYeLEAV,"Central Tire - Yonkers<br>51 Central Park Avenue<br>Yonkers, NY 10705<br>United States","Yonkers, NY 10705",0.0,Central Tire - Yonkers,,Common Carrier Prepay,,,,1016662,2332.26,,2010.12
a0n5d00000UckNUAAZ,O-0000010698,0013h000012Wkwg,a0P5d000018Xgu3EAC,"Petroleum Service Company<br>P. O. Box 454<br>Wilkes-Barre, PA 18703<br>United States","Wilkes-Barre, PA 18703",0.0,Petroleum Service Company,,Common Carrier Cust Acct,,,,1010698,1910.92,,1791.64
a0n5d00000UVD4HAAX,O-0000006467,0013h00000zugGd,a0P5d000015jdD6EAI,"Petrochoice<br>640 Freedom Business Center Drive Suite 400<br>Fort Washington, PA 19034<br>United States","Fort Washington, PA 19034",1.0,Petrochoice,,,,,,1006467,0.0,,46044.0
a0n5d00000XRmUBAA1,O-0000012660,0013h000013Onaz,a0P5d00001ANIfgEAH,"Idemitsu Lubricants America Corp<br>701 Port Road<br>Jeffersonville, IN 47130<br>United States","Jeffersonville, IN 47130",1.0,Idemitsu Lubricants America Corp,,Customer Pickup,,,,1012660,49732.6,,41811.12
a0n5d00000Ub6pMAAR,O-0000010160,0013h00000zugVU,a0P5d000018XUJbEAO,"PPC Lubricants<br>305 Micro Drive<br>Jonestown, PA 17038<br>United States","Jonestown, PA 17038",0.0,PPC Lubricants,,FOB Origin Collect,,,,1010160,7779.32,,7174.04
a0n5d00000UcjhjAAB,O-0000010685,0015d00003MT28u,a0P5d000018XgiVEAS,"Bay Area Tire &amp; Service<br>539 Ritchie Highway<br>Severna Park, MD 21146<br>United States","Severna Park, MD 21146",1.0,Bay Area Tire & Service,,Buyback,,,,1010685,1643.74,,1402.95
a0n5d00000VVtaUAAT,O-0000022604,0013h00000t5axt,a0P5d00001EArS8EAL,"APAC Mid-South<br>500 Riverhills Business Park Suite 590<br>Birmingham, AL 35242<br>United States","Birmingham, AL 35242",0.0,APAC Mid-South,,Buyback,,,,1022604,1696.21,,1375.81
a0n5d00000YS5EeAAL,O-0000017924,0013h000013OoCs,a0P5d00001Cq8v0EAB,"Sealube Marine Inc<br>3663 N. Sam Houston Parkway E Suite 600<br>Houston, TX 77032<br>United States","Houston, TX 77032",0.0,Sealube Marine Inc,,Common Carrier Prepay,,,,1017924,1570.99,,1751.98
a0n5d00000UbqA1AAJ,O-0000010386,0013h00000ztMKZ,a0P5d000018XZp4EAG,"Grade A Petroleum<br>90 East Hawthorne Avenue<br>Valley Stream, NY 11580<br>United States","Valley Stream, NY 11580",0.0,Grade A Petroleum,,FOB Origin (Customer Truck),,,,1010386,2323.44,,2018.52
a0n5d00000V2PgfAAF,O-0000009299,0013h00000zugGd,a0P5d000018joLxEAI,"Petrochoice<br>640 Freedom Business Center Drive Suite 400<br>Fort Washington, PA 19034<br>United States","Fort Washington, PA 19034",4.0,Petrochoice,,FOB Orgin Pre-Pay & Add,,,,1009299,38592.44,,45956.63
a0n5d00000YRpEKAA1,O-0000016330,0013h000012X0xV,a0P5d00001Co7IgEAJ,"The Oil Depot<br>263 Merritt Avenue<br>Wyandanch, NY 11798<br>US","Wyandanch, NY 11798",0.0,The Oil Depot,,Customer Pickup,,,,1016330,44294.04,,42388.92
a0n5d00000V0MKUAA3,O-0000008385,0013h00000ztCQY,a0P5d000018jR2wEAE,"Campbell Oil Co<br>P. O. Box 637<br>Elizabethtown, NC 28337<br>United States","Elizabethtown, NC 28337",1.0,Campbell Oil Co,,FOB Orgin Pre-Pay & Add,,,,1008385,17966.22,,47023.5
a0n5d00000YRzgVAAT,O-0000017316,0013h00000zssaO,a0P5d00001CpQMeEAN,"Brenntag Lubricants Northeast<br>1064 Goffs Falls Road<br>Manchester, NH 03103<br>United States","Manchester, NH 03103",4.0,Brenntag Lubricants Northeast,,ALS Tanker,,,,1017316,58697.0,,46642.68
